country,min_life_expectancy,max_life_expectancy,difference
Haiti,36.3,65,28.7
Zimbabwe,44.3,67,22.7
Eritrea,45.3,67,21.7
Uganda,46.6,67,20.4
Botswana,46,65.7,19.7
Rwanda,48.3,68,19.7
Zambia,43.8,63,19.2
Niger,50,69,19
"United Republic of Tanzania",49.2,67,17.8
Liberia,50,67,17
Ethiopia,51.2,68,16.8
Congo,52.6,68,15.4
"South Africa",53.7,69,15.3
Malawi,43.1,58.3,15.2
"Sierra Leone",39,54,15
"Bolivia (Plurinational State of)",62.6,77,14.4
Swaziland,45.6,58.9,13.3
"Central African Republic",45.6,58,12.4
Portugal,76.6,89,12.4
Iraq,64.7,77,12.3
Gambia,55.9,68,12.1
Slovenia,76,88,12
Nigeria,47.1,59,11.9
"Republic of Moldova",67.1,79,11.9
Ghana,57.2,69,11.8
Bangladesh,65.3,77,11.7
Djibouti,57.4,69,11.6
Finland,77.5,89,11.5
Kenya,51.9,63.4,11.5
Azerbaijan,66.6,78,11.4
Belgium,77.6,89,11.4
Kyrgyzstan,66.6,78,11.4
Namibia,54.7,66.1,11.4
Guatemala,67.7,79,11.3
Madagascar,57.9,69,11.1
Cambodia,57.7,68.7,11
Germany,78,89,11
"Republic of Korea",76,87,11
"Syrian Arab Republic",62.8,73.8,11
Ukraine,67,78,11
Angola,45.3,56,10.7
"Democratic People's Republic of Korea",65.4,76,10.6
"New Zealand",78.5,89,10.5
Norway,78.5,89,10.5
Egypt,68.6,79,10.4
"Russian Federation",64.6,75,10.4
Afghanistan,54.8,65,10.2
France,78.8,89,10.2
Luxembourg,77.8,88,10.2
Austria,78.1,88,9.9
Netherlands,78.1,88,9.9
Spain,79.1,89,9.9
Greece,78.2,88,9.8
Ireland,76.4,86,9.6
Italy,79.4,89,9.6
Timor-Leste,58.7,68.3,9.6
Malta,77.5,87,9.5
Chad,47.6,57,9.4
Sweden,79.6,89,9.4
Lesotho,44.5,53.7,9.2
Senegal,57.5,66.7,9.2
"United Kingdom of Great Britain and Northern Ireland",77.8,87,9.2
Denmark,76.9,86,9.1
"Papua New Guinea",58.9,68,9.1
"South Sudan",48.9,58,9.1
Mauritania,60,69,9
Mozambique,49,58,9
Vanuatu,69,78,9
"Burkina Faso",51,59.9,8.9
Maldives,69.6,78.5,8.9
"Trinidad and Tobago",69.1,78,8.9
Singapore,78.3,87,8.7
Suriname,67.4,76,8.6
"Democratic Republic of the Congo",51.3,59.8,8.5
Mali,49.8,58.2,8.4
Morocco,68.6,77,8.4
Sudan,58.6,67,8.4
Burundi,51.3,59.6,8.3
Iceland,79.7,88,8.3
Bhutan,61.7,69.8,8.1
Kazakhstan,63.9,72,8.1
Latvia,69.9,78,8.1
"Saint Vincent and the Grenadines",71,79,8
Canada,79.1,87,7.9
Grenada,71.1,79,7.9
Paraguay,71.2,79,7.8
Chile,77.3,85,7.7
"Lao People's Democratic Republic",58.1,65.7,7.6
Samoa,71.4,79,7.6
Myanmar,59.2,66.6,7.4
"Cabo Verde",69.9,77,7.1
Nepal,62.5,69.6,7.1
Libya,71,78,7
Cyprus,78.1,85,6.9
Lithuania,71.1,78,6.9
Romania,71.1,78,6.9
Somalia,51.1,58,6.9
Yemen,61.1,68,6.9
Estonia,71.2,78,6.8
Guinea-Bissau,52.1,58.9,6.8
"Iran (Islamic Republic of)",71.2,78,6.8
Turkey,71.2,78,6.8
Australia,79.5,86,6.5
Comoros,59.5,66,6.5
Guinea,52.5,59,6.5
"C̫te d'Ivoire",47.7,54,6.3
Gabon,59.7,66,6.3
"El Salvador",68.9,75,6.1
Mongolia,62.8,68.8,6
Tajikistan,63.7,69.7,6
Cameroon,51.4,57.3,5.9
Belarus,67.2,73,5.8
India,62.5,68.3,5.8
"Sri Lanka",69.1,74.9,5.8
"Equatorial Guinea",52.7,58.2,5.5
Switzerland,79.7,85,5.3
Togo,54.6,59.9,5.3
Albania,72.6,77.8,5.2
Israel,78.9,84,5.1
Nicaragua,71,76,5
"Sao Tome and Principe",62.6,67.5,4.9
Benin,55.4,60,4.6
"Dominican Republic",69.3,73.9,4.6
China,71.7,76.1,4.4
Algeria,71.3,75.6,4.3
Czechia,74.7,78.8,4.1
Hungary,71.7,75.8,4.1
Peru,71.4,75.5,4.1
Brazil,71,75,4
Oman,72.6,76.6,4
"Brunei Darussalam",74.4,78.3,3.9
Indonesia,65.3,69.1,3.8
Poland,73.7,77.5,3.8
Thailand,71.1,74.9,3.8
Slovakia,73,76.7,3.7
Honduras,71,74.6,3.6
Jamaica,72.6,76.2,3.6
Mauritius,71,74.6,3.6
Pakistan,62.8,66.4,3.6
"Saint Lucia",71.6,75.2,3.6
Bahamas,72.6,76.1,3.5
Bulgaria,71.1,74.5,3.4
Colombia,71.4,74.8,3.4
Ecuador,72.8,76.2,3.4
"Solomon Islands",65.8,69.2,3.4
Croatia,74.7,78,3.3
"Micronesia (Federated States of)",66.2,69.4,3.2
Montenegro,73,76.1,3.1
"The former Yugoslav republic of Macedonia",72.6,75.7,3.1
Serbia,72.6,75.6,3
Turkmenistan,63.3,66.3,3
"United Arab Emirates",74.2,77.1,2.9
"Antigua and Barbuda",73.6,76.4,2.8
Armenia,72,74.8,2.8
Belize,68.2,71,2.8
"Bosnia and Herzegovina",74.6,77.4,2.8
Georgia,71.7,74.5,2.8
Japan,81.1,83.7,2.6
Malaysia,72.4,75,2.6
"Viet Nam",73.4,76,2.6
"United States of America",76.8,79.3,2.5
Bahrain,74.5,76.9,2.4
Cuba,76.7,79.1,2.4
Jordan,71.7,74.1,2.4
Tunisia,72.9,75.3,2.4
Argentina,74,76.3,2.3
Lebanon,72.7,75,2.3
Panama,75.5,77.8,2.3
Uzbekistan,67.1,69.4,2.3
Barbados,73.3,75.5,2.2
Fiji,67.7,69.9,2.2
Kiribati,64.1,66.3,2.2
"Costa Rica",77.5,79.6,2.1
Qatar,76.2,78.2,2
Mexico,74.8,76.7,1.9
"Saudi Arabia",72.6,74.5,1.9
Tonga,71.6,73.5,1.9
Uruguay,75.1,77,1.9
Philippines,66.8,68.5,1.7
"Venezuela (Bolivarian Republic of)",72.4,74.1,1.7
Kuwait,73.2,74.7,1.5
Seychelles,71.8,73.2,1.4
Guyana,65,66.3,1.3
